molecule_chembl_id,canonical_smiles,pIC50,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,RingCount,HeavyAtomCount
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,4.275724130399211,377.444,4.6822000000000035,64.63,1,3,4,4,27
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,5.5406075122407685,197.18999999999997,0.052200000000000135,103.78000000000002,4,4,3,1,14
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,6.339419087572701,346.8210000000001,5.012600000000003,50.7,1,4,4,4,25
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,5.484536811626732,440.4630000000001,4.028600000000002,118.81,2,6,7,5,33
CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,5.136677139879544,337.8100000000001,4.599400000000003,54.02,2,3,5,3,24
CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1,6.494850021680094,235.29000000000002,3.241900000000001,37.81,1,3,3,3,18
CHEMBL103552,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,5.3872161432802645,381.38400000000007,3.414000000000002,121.46000000000001,5,6,6,3,28
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,5.42021640338319,527.6690000000006,5.986420000000005,80.65,2,5,7,5,39
CHEMBL103860,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O,5.481486060122112,274.27200000000005,2.286800000000001,97.99000000000001,4,4,4,2,20
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,4.158509134666999,344.845,5.376700000000004,17.82,0,1,4,4,25
CHEMBL104153,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,6.657577319177793,427.2910000000001,5.054500000000003,69.03999999999999,1,5,4,4,29
CHEMBL104244,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,6.6777807052660805,475.42400000000026,3.7418000000000013,66.28999999999999,1,6,7,4,32
CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,5.431798275933005,303.362,2.3624,76.5,2,6,4,3,22
CHEMBL104779,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,6.040958607678906,398.2530000000001,4.440900000000003,72.7,1,5,3,4,27
CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,8.481486060122112,314.39200000000005,4.749600000000004,53.6,2,3,4,4,24
CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,5.288192770958808,417.5130000000001,3.1449000000000007,89.42999999999999,2,6,8,4,31
CHEMBL106232,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,5.346787486224656,489.4510000000003,4.131900000000003,66.28999999999999,1,6,8,4,33
CHEMBL107472,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.1249387366083,335.1940000000001,3.344000000000001,59.81,1,4,2,3,22
CHEMBL1077068,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)=N1,4.054039296422431,616.6160000000001,3.621900000000001,221.07,6,12,8,5,44
CHEMBL1077069,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)=N1,4.09799710864927,644.67,4.238740000000003,221.07,6,12,8,5,46
CHEMBL1077085,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3cccs3)SC2=S)=N1,4.09366495819491,608.6830000000001,4.386500000000002,169.43,5,12,6,5,41
CHEMBL1077095,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN)=N1,4.319664486585436,398.3790000000001,1.3822999999999994,175.14,6,9,4,3,29
CHEMBL1077107,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3ccco3)SC2=S)=N1,4.0030507515046185,592.6150000000001,3.918000000000001,182.57,5,12,6,5,41
CHEMBL1079742,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,7.371611069949688,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30
CHEMBL1080271,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,4.1122702027119695,511.00100000000026,5.144600000000004,95.17000000000002,3,6,11,4,36
CHEMBL1080272,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,4.8198741248359465,508.9850000000003,4.898600000000004,95.17000000000002,3,6,9,5,36
CHEMBL1080506,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5.054285285940139,539.0110000000002,4.443420000000002,104.4,3,7,9,5,38
CHEMBL1080812,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,6.061980902523789,522.0090000000001,3.699320000000001,117.29,3,8,9,5,37
CHEMBL1080815,Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1,5.568636235841012,290.153,4.680200000000001,37.81,1,3,2,3,19
