molecule_chembl_id,median_ic50_nM,n_measurements,min_ic50_nM,max_ic50_nM,pIC50,canonical_smiles,valid_smiles
CHEMBL10,53000.0,2,10000.0,96000.0,4.275724130399211,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,True
CHEMBL1009,2880.0,1,2880.0,2880.0,5.5406075122407685,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,True
CHEMBL101253,457.7,1,457.7,457.7,6.339419087572701,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,True
CHEMBL1016,3276.9,1,3276.9,3276.9,5.4845368116267315,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,True
CHEMBL101683,7300.0,1,7300.0,7300.0,5.136677139879544,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,True
CHEMBL102726,320.0,1,320.0,320.0,6.494850021680094,c1ccc(CNc2ncnc3ccccc23)cc1,True
CHEMBL103552,4100.0,1,4100.0,4100.0,5.3872161432802645,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,True
CHEMBL103667,3800.0,1,3800.0,3800.0,5.42021640338319,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,True
CHEMBL103860,3300.0,1,3300.0,3300.0,5.481486060122112,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O,True
CHEMBL104,69421.0,1,69421.0,69421.0,4.158509134666999,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,True
CHEMBL104153,220.0,1,220.0,220.0,6.657577319177793,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,True
CHEMBL104244,210.0,1,210.0,210.0,6.6777807052660805,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,True
CHEMBL104466,3700.0,1,3700.0,3700.0,5.431798275933005,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,True
CHEMBL104779,910.0,1,910.0,910.0,6.040958607678906,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,True
CHEMBL105053,3.3,1,3.3,3.3,8.481486060122112,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,True
CHEMBL105436,5150.0,2,300.0,10000.0,5.288192770958808,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,True
CHEMBL106232,4500.0,1,4500.0,4500.0,5.346787486224656,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,True
CHEMBL107472,7500.0,1,7500.0,7500.0,5.1249387366083,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,True
CHEMBL1077068,88300.0,1,88300.0,88300.0,4.054039296422431,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)=N1,True
CHEMBL1077069,79800.0,1,79800.0,79800.0,4.09799710864927,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)=N1,True
CHEMBL1077085,80600.0,1,80600.0,80600.0,4.09366495819491,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3cccs3)SC2=S)=N1,True
CHEMBL1077095,47900.0,1,47900.0,47900.0,4.319664486585436,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN)=N1,True
CHEMBL1077107,99300.0,1,99300.0,99300.0,4.0030507515046185,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3ccco3)SC2=S)=N1,True
CHEMBL1079742,42.5,4,2.0,420.0,7.371611069949688,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,True
CHEMBL1080271,77220.0,1,77220.0,77220.0,4.1122702027119695,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,True
CHEMBL1080272,15140.0,1,15140.0,15140.0,4.8198741248359465,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,True
CHEMBL1080506,8825.0,2,5000.0,12650.0,5.054285285940139,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,True
CHEMBL1080812,867.0,1,867.0,867.0,6.061980902523789,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,True
CHEMBL1080815,2700.0,1,2700.0,2700.0,5.568636235841012,Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1,True
CHEMBL1080990,1210.0,1,1210.0,1210.0,5.917214629683549,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,True
CHEMBL1081198,50000.0,1,50000.0,50000.0,4.301029995663981,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,True
CHEMBL1081312,260.0,1,260.0,260.0,6.585026652029182,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,True
CHEMBL1081849,980.0,1,980.0,980.0,6.008773924307505,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,True
CHEMBL1082012,257.0,1,257.0,257.0,6.590066876668706,Cc1c(C(=O)NCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,True
CHEMBL1084117,60900.0,1,60900.0,60900.0,4.215382707367125,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(Nc2ccc([N+](=O)[O-])cc2Cl)=N1,True
CHEMBL1087054,93500.0,1,93500.0,93500.0,4.029188389127482,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,True
CHEMBL1087055,55600.0,1,55600.0,55600.0,4.2549252084179425,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,True
CHEMBL1087368,1220.0,2,1160.0,1280.0,5.913640169325252,CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,True
CHEMBL1088240,3300.0,1,3300.0,3300.0,5.481486060122112,COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,True
CHEMBL1088348,23500.0,1,23500.0,23500.0,4.628932137728264,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(NCc2ccccc2)=N1,True
CHEMBL1088901,190.0,1,190.0,190.0,6.721246399047171,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,True
CHEMBL1088931,6.2,1,6.2,6.2,8.207608310501746,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,True
CHEMBL1089203,185.0,4,14.0,1500.0,6.732828271596986,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,True
CHEMBL1089524,1.7,3,0.5,130.0,8.769551078621726,CN(C)CCCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,True
CHEMBL1090350,7.9,1,7.9,7.9,8.102372908709558,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1ccccc1,True
CHEMBL1090351,1.9,1,1.9,1.9,8.721246399047171,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1c(F)cccc1F,True
CHEMBL1090352,870.0,1,870.0,870.0,6.060480747381382,O=C(CC1CCCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,True
CHEMBL1090353,660.0,1,660.0,660.0,6.180456064458131,O=C(CC1CCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,True
CHEMBL1090354,100.0,1,100.0,100.0,7.0,O=C(Nc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,True
CHEMBL1090355,190.0,1,190.0,190.0,6.721246399047171,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)Oc1ccccc1,True
CHEMBL1090356,63.0,1,63.0,63.0,7.200659450546418,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,True
CHEMBL1090357,110.39,2,0.78,220.0,6.9570702666568405,CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,True
CHEMBL1090358,25.48,2,0.96,50.0,7.593800576336687,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)c6c(F)cccc6F)c5)nc5sccn45)n3)cc2)CC1,True
CHEMBL1090359,2.3,1,2.3,2.3,8.638272163982407,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1)c1c(F)cccc1F,True
CHEMBL1090360,333.0,2,56.0,610.0,6.47755576649368,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,True
CHEMBL1090361,57.0,1,57.0,57.0,7.2441251443275085,CN1CCc2cc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)ccc2C1,True
CHEMBL1090362,183.0,2,16.0,350.0,6.73754891026957,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)cc2)CC1,True
CHEMBL1090363,24.0,1,24.0,24.0,7.619788758288394,CN(C)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)Cc5ccccc5)c4)nc4sccn34)n2)c1,True
CHEMBL1090364,503.2,2,6.4,1000.0,6.298259367562787,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1,True
CHEMBL1090840,3.2,1,3.2,3.2,8.494850021680094,C=CC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,True
CHEMBL1091613,240.0,1,240.0,240.0,6.619788758288394,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,True
CHEMBL109212,416.87,1,416.87,416.87,6.379999357699932,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCC,True
CHEMBL1092250,30.5,4,4.0,1500.0,7.515700160653214,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,True
CHEMBL1092382,16.0,3,2.8,520.0,7.795880017344075,CCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,True
CHEMBL109259,89125.09,1,89125.09,89125.09,4.050000018582057,COc1cc2c(C#N)cnc(Nc3cccc(Cl)c3)c2cc1OC,True
CHEMBL109296,4500.0,1,4500.0,4500.0,5.346787486224656,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,True
CHEMBL1093099,15070.0,1,15070.0,15070.0,4.821886747685368,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,True
CHEMBL1093100,10410.0,1,10410.0,10410.0,4.982549270489464,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,True
CHEMBL1093234,55.0,1,55.0,55.0,7.259637310505756,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,True
CHEMBL1093235,230.0,1,230.0,230.0,6.638272163982407,O=[N+]([O-])c1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1,True
CHEMBL109332,3388.44,1,3388.44,3388.44,5.470000200122707,COc1cc2ncc(C=O)c(Nc3cccc(Br)c3)c2cc1OC,True
CHEMBL109355,1479.11,1,1479.11,1479.11,5.829999526735649,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Cl)c3)c2cc1OC,True
CHEMBL109372,2853.515,2,537.03,5170.0,5.5446198401642235,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,True
CHEMBL1093815,83.0,1,83.0,83.0,7.080921907623926,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1Cl,True
CHEMBL1094194,1920.0,1,1920.0,1920.0,5.71669877129645,CSc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,True
CHEMBL1094195,1110.0,4,1060.0,1120.0,5.954677021213342,Cl.NCCc1cn(Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,True
CHEMBL1094196,1250.0,1,1250.0,1250.0,5.903089986991944,COc1ccc(-c2ccc(Cn3cc(CCN)c4cc(OCCc5ccc(O)cc5)ccc43)cc2)cc1.Cl,True
CHEMBL109428,181.97,1,181.97,181.97,6.740000204918113,COc1cc2ncc(C#N)c(Nc3cccc(Cl)c3)c2cc1OC,True
CHEMBL1094475,55200.0,1,55200.0,55200.0,4.2580609222708015,C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,True
CHEMBL1094492,1370.0,1,1370.0,1370.0,5.863279432843593,COc1ccc(CCCCCn2c3c(c4cc(OCCc5ccc(O)cc5)ccc42)CC(N)CC3)cc1.Cl,True
CHEMBL109476,2754.23,1,2754.23,2754.23,5.5599997955387845,COc1cc2ncc(C#N)c(Nc3ccc(C)cc3)c2cc1OC,True
CHEMBL1094784,33100.0,1,33100.0,33100.0,4.480172006224281,FC(F)(F)c1cccc(Nc2ncnc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,True
CHEMBL1094808,91700.0,1,91700.0,91700.0,4.037630664329979,Nc1nc(Nc2ccc(C(F)(F)F)c(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,True
CHEMBL1094825,2750.0,1,2750.0,2750.0,5.560667306169737,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccc(C(F)(F)F)cc2)C1,True
CHEMBL1094835,2450.0,1,2450.0,2450.0,5.610833915635467,COc1ccc(CCOc2ccc3c(c2)c(CCN)cn3CCCCCc2ccc(SC)cc2)cc1.Cl,True
CHEMBL109503,1445.44,1,1445.44,1445.44,5.839999931118699,COc1cc2ncc(C#N)c(Nc3cccc(C(F)(F)F)c3)c2cc1OC,True
